time,p_z0,p_z025,p_z050,p_z075,p_z100,uz_top
58.75,259.31868385655,239.55011455695,183.36716577364,99.225797691307,-4.6120941451428e-14,-0.007514329292992
60,250.72522553275,231.61166839761,177.29039797188,95.9373752732,-4.4592439130899e-14,-0.0075635636186411
61.25,242.41650846896,223.93628126917,171.41503757776,92.757965114882,-4.3114611253952e-14,-0.0076111662805601
62.5,234.38310586823,216.515239154,165.73440351602,89.6839460372,-4.1685773544955e-14,-0.0076571913686284
63.75,226.61590113263,209.34011597027,160.24203767134,86.711818892507,-4.0304298715075e-14,-0.0077016911760333
65,219.10607810219,202.40276422824,154.93169713287,83.838202041941,-3.896861429738e-14,-0.0077447162598007
66.25,211.84511149488,195.69530594941,149.7973467823,81.059827095581,-3.7677200618943e-14,-0.0077863154990861
67.5,204.82475756989,189.21012385087,144.83315219368,78.373534880048,-3.6428588889929e-14,-0.0078265361513562
68.75,198.03704502891,182.93985279446,140.03347281906,75.776271605684,-3.5221359394146e-14,-0.0078654239065716
70,191.47426616427,176.87737149842,135.39285543859,73.265085211128,-3.4054139768589e-14,-0.0079030229394703
71.25,185.12896825881,171.01579450782,130.90602785707,70.837121867506,-3.2925603362251e-14,-0.0079393759600385
72.5,178.99394523882,165.34846441883,126.56789283204,68.489622627886,-3.1834467666298e-14,-0.0079745242622483
73.75,173.06222957929,159.86894435143,122.37352222025,66.219920210225,-3.0779492809234e-14,-0.0080085077711338
75,167.32708445878,154.57101066443,118.31815133121,64.025435904102,-2.9759480111838e-14,-0.0080413650882715
76.25,161.78199616008,149.44864590651,114.39717347802,61.903676593059,-2.877327069758e-14,-0.0080731335357266
77.5,156.42066671191,144.4960319966,110.60613471636,59.852231885647,-2.7819744154865e-14,-0.0081038491985221
78.75,151.23700676601,139.70754362724,106.94072876374,57.868771349202,-2.6897817248003e-14,-0.0081335469656845
80,146.22512870416,135.07774188405,103.39679209159,55.951041841139,-2.6006442674317e-14,-0.0081622605699177
81.25,141.37933996859,130.60136807473,99.970299183418,54.096864933148,-2.5144607864997e-14,-0.0081900226259521
82.5,136.69413660983,126.27333776127,96.657357952723,52.304134424167,-2.4311333827646e-14,-0.0082168646676168
83.75,132.16419704555,122.08873498879,93.454205314764,50.570813938388,-2.3505674028732e-14,-0.0082428171836771
85,127.78437602398,118.04280670478,90.357202906594,48.894934604845,-2.2726713314182e-14,-0.0082679096524802
86.25,123.54969878584,114.13095736271,87.362832950091,47.274592815428,-2.1973566866651e-14,-0.0082921705754504
87.5,119.45535541841,110.34874370393,84.467694252991,45.70794805835,-2.1245379198021e-14,-0.0083156275094707
88.75,115.49669539574,106.69186971218,81.668498343107,44.193220824313,-2.0541323175769e-14,-0.008338307098191
90,111.66922229912,103.15618173499,78.9620657312,42.728690582736,-1.9860599082046e-14,-0.0083602351022955
91.25,107.96858871185,99.737663766546,76.345322298061,41.312693825549,-1.9202433704171e-14,-0.0083814364287681
92.5,104.39059128284,96.432432886721,73.815295801664,39.943622176246,-1.8566079455556e-14,-0.0084019351591849
93.75,100.93116595345,93.236734851111,71.36911250027,38.619920561878,-1.7950813525901e-14,-0.0084217545770705
95,97.586383342256,90.146939827137,69.003993887628,37.340085445861,-1.7355937059689e-14,-0.0084409171943461
96.25,94.352444282561,87.159538271372,66.717253536514,36.102663119538,-1.6780774362022e-14,-0.0084594447769006
97.5,91.225675507646,84.271136943415,64.506294046955,34.906248050468,-1.6224672130832e-14,-0.0084773583693152
98.75,88.202525478915,81.478455051855,62.368604095685,33.749481285583,-1.5686998714624e-14,-0.0084946783187673
100,85.279560352182,78.778320527879,60.301755583426,32.631048907314,-1.5167143394825e-14,-0.0085114242981422
102.5,79.808661262874,73.724492366338,56.433245676406,30.537684693667,-1.4194132829967e-14,-0.0085427676631289
105,74.688734150162,68.994880036857,52.812910457638,28.578615092832,-1.328354335707e-14,-0.008572100272084
107.5,69.897263280864,64.568684277208,49.424828890493,26.74522476142,-1.2431370502651e-14,-0.0085995511200939
110,65.413177360885,60.426440149558,46.254101314461,25.029451053931,-1.1633866691387e-14,-0.0086252409268812
112.5,61.216756871621,56.549931440527,43.286783920772,23.423748565098,-1.0887524765044e-14,-0.0086492826676905
115,57.289547350586,52.922110552504,40.509827431732,21.921055947155,-1.0189062558851e-14,-0.0086717820701182
117.5,53.614278235196,49.527023534144,37.911019714108,20.514764856079,-9.5354084674556e-15,-0.0086928380790672
120,50.174786912751,46.349739920228,35.478932074046,19.198690890062,-8.9236879368987e-15,-0.0087125432918747
122.5,46.955947642813,43.376287072543,33.202868997405,17.967046392466,-8.3512108232113e-15,-0.0087309843655244
125,43.943605039249,40.593588732832,31.072821114353,16.814414999542,-7.8154595620212e-15,-0.0087482423977357
127.5,41.124511819608,37.989407517785,29.079421181446,15.735727821007,-7.3140780970894e-15,-0.0087643932836041
130,38.486270548049,35.552291103146,27.213902887609,14.726241148744,-6.8448615191732e-15,-0.0087795080493632
132.5,36.017279115497,33.271521860149,25.468062302768,13.781515595505,-6.4057463695292e-15,-0.0087936531647342
135,33.706679717447,31.137069722966,23.834221799681,12.897396571955,-5.9948015655136e-15,-0.008806890835238
137.5,31.544311104976,29.139548079824,22.305196290305,12.069996016177,-5.6102199083195e-15,-0.008819279275754
140,29.520663898905,27.270172493775,20.874261628118,11.295675295231,-5.2503101354989e-15,-0.0088308729665304
142.5,27.626838770766,25.520722071707,19.535125037602,10.571029203691,-4.9134894833786e-15,-0.0088417228927696
145,25.854507306451,23.883503311531,18.281897440657,9.8928709886402,-4.5982767265583e-15,-0.0088518767688448
147.5,24.195875380676,22.351316268769,17.109067558438,9.2582183354272,-4.3032856639973e-15,-0.0088613792481314
150,22.643648880941,20.917422893532,16.011477674531,8.6642802524033,-4.0272190229442e-15,-0.0088702721193782
152.5,21.191001630499,19.575517398865,14.984300953068,8.1084447970852,-3.7688627539789e-15,-0.0088785944904802
155,19.831545369074,18.319698529961,14.023020211884,7.5882675896994,-3.5270806920132e-15,-0.0088863829604623
157.5,18.559301659423,17.14444361242,13.123408057467,7.1014610636075,-3.3008095598152e-15,-0.0088936717804292
