sample,input_deck,result_file_count,result_files,analysis_status,analysis_artifact
SWT1,Examples/YeGhasemmi2018/SWT1/92_07_swt1_final_c26p9_resc9p19_mesh3.i,0,,no_result_available,
SWT1,Examples/YeGhasemmi2018/SWT1/93_01_swt1_final_c26p9_resc9p19_ppfix.i,1,Examples/YeGhasemmi2018/SWT1/results_csv_hpc_rorqual/93_01_swt1_final_c26p9_resc9p19_ppfix_hpc.csv,table2_ranked,TABLE2_ERROR_ACCURACY_RANKING.csv
SWT1,Examples/YeGhasemmi2018/SWT1/93_02_swt1_final_c26p9_resc9p19_ppfix_mesh3.i,2,Examples/YeGhasemmi2018/SWT1/results_csv/93_02_swt1_final_c26p9_resc9p19_ppfix_mesh3_hpc.csv;Examples/YeGhasemmi2018/SWT1/results_csv_hpc_rorqual/93_02_swt1_final_c26p9_resc9p19_ppfix_mesh3_hpc.csv,table2_ranked,TABLE2_ERROR_ACCURACY_RANKING.csv
SWT1,Examples/YeGhasemmi2018/SWT1/94_01_swt1_mc_final.i,1,Examples/YeGhasemmi2018/SWT1/results_csv_hpc_rorqual/94_01_swt1_mc_final_hpc.csv,table2_ranked,TABLE2_ERROR_ACCURACY_RANKING.csv
SWT1,Examples/YeGhasemmi2018/SWT1/94_02_swt1_mc_final_mesh3.i,1,Examples/YeGhasemmi2018/SWT1/results_csv_hpc_rorqual/94_02_swt1_mc_final_mesh3_hpc.csv,table2_partial,TABLE2_ERROR_ACCURACY_RANKING.csv
SWT1,Examples/YeGhasemmi2018/SWT1/95_01_swt1_rsf_aeq_b0.i,0,,no_result_available,
SWT1,Examples/YeGhasemmi2018/SWT1/95_02_swt1_rsf_a010_b005.i,0,,no_result_available,
SWT1,Examples/YeGhasemmi2018/SWT1/95_03_swt1_rsf_a010_b010.i,0,,no_result_available,
SWT1,Examples/YeGhasemmi2018/SWT1/95_04_swt1_rsf_a010_b015.i,0,,no_result_available,
SWT1,Examples/YeGhasemmi2018/SWT1/96_01_swt1_biot0p2.i,1,Examples/YeGhasemmi2018/SWT1/results_csv_hpc_rorqual/96_01_swt1_biot0p2_hpc.csv,table2_ranked,TABLE2_ERROR_ACCURACY_RANKING.csv
SWT1,Examples/YeGhasemmi2018/SWT1/97_01_swt1_cyclic3.i,1,Examples/YeGhasemmi2018/SWT1/results_csv_hpc_rorqual/97_01_swt1_cyclic3_hpc.csv,superseded_discussion_run,CONSOLIDATED_ANALYSIS_2026-08-18.md
SWT1,Examples/YeGhasemmi2018/SWT1/98_01_swt1_shutin.i,1,Examples/YeGhasemmi2018/SWT1/results_csv_hpc_rorqual/98_01_swt1_shutin_hpc.csv,superseded_discussion_run,CONSOLIDATED_ANALYSIS_2026-08-18.md
SWT1,Examples/YeGhasemmi2018/SWT1/99_01_swt1_vm50um_ppfix.i,1,Examples/YeGhasemmi2018/SWT1/results_csv_hpc_rorqual/99_01_swt1_vm50um_ppfix_hpc.csv,table2_ranked,TABLE2_ERROR_ACCURACY_RANKING.csv
SWT1,Examples/YeGhasemmi2018/SWT1/99_02_swt1_apscale0p0155_ppfix.i,1,Examples/YeGhasemmi2018/SWT1/results_csv_hpc_rorqual/99_02_swt1_apscale0p0155_ppfix_hpc.csv,table2_ranked,TABLE2_ERROR_ACCURACY_RANKING.csv
SWT1,Examples/YeGhasemmi2018/SWT1/Ye2018_SWT1_BBFast_sweep_19_F0p95_Pp0p60_T40p00_U0p94_A0p0160_Kinematic_IOsafe.i,0,,no_result_available,
SWT1,Examples/YeGhasemmi2018/SWT1/Ye2018_SWT1_BBFast_sweep_19_F0p95_Pp0p60_T40p00_U0p94_A0p0160_Kinematic_IOsafe_kernel_SV.i,1,Examples/YeGhasemmi2018/SWT1/results_csv/Ye2018_SWT1_BBFast_sweep_19_F0p95_Pp0p60_T40p00_U0p94_A0p0160_Kinematic_IOsafe_kernel_SV_biot_ab_20260815.csv,table2_ranked,TABLE2_ERROR_ACCURACY_RANKING.csv
SWT1,Examples/YeGhasemmi2018/SWT1/Ye2018_SWT1_BBFast_sweep_19_F0p95_Pp0p60_T40p00_U0p94_A0p0160_Kinematic_IOsafe_kernel_SV_biot0p6.i,1,Examples/YeGhasemmi2018/SWT1/results_csv/Ye2018_SWT1_BBFast_sweep_19_F0p95_Pp0p60_T40p00_U0p94_A0p0160_Kinematic_IOsafe_kernel_SV_biot0p6_biot_ab_20260815.csv,table2_ranked,TABLE2_ERROR_ACCURACY_RANKING.csv
SWT1,Examples/YeGhasemmi2018/SWT1/Ye2018_SWT1_BBFast_sweep_19_F0p95_Pp0p60_T40p00_U0p94_A0p0160_Kinematic_IOsafe_kernel_SV_biot0p6_mesh3.i,0,,no_result_available,
SWT1,Examples/YeGhasemmi2018/SWT1/Ye2018_SWT1_BBFast_sweep_19_F0p95_Pp0p60_T40p00_U0p94_A0p0160_Kinematic_IOsafe_kernel_SV_mesh3.i,0,,no_result_available,
SWT1,Examples/YeGhasemmi2018/SWT1/Ye2018_SWT1_BBFast_sweep_20_F0p95_Pp0p60_T40p00_U0p94_A0p0115_Cn1p80em14_LinearHyd_Kinematic_IOsafe.i,0,,no_result_available,
SWT1,Examples/YeGhasemmi2018/SWT1/Ye2018_SWT1_BBFast_sweep_20_F0p95_Pp0p60_T40p00_U0p94_A0p0115_Cn1p80em14_LinearHyd_Kinematic_IOsafe_kernel_SV.i,0,,no_result_available,
SWT1,Examples/YeGhasemmi2018/SWT1/Ye2018_SWT1_BBFast_sweep_20_F0p95_Pp0p60_T40p00_U0p94_A0p0115_Cn1p80em14_LinearHyd_Kinematic_IOsafe_kernel_SV_mesh3.i,0,,no_result_available,
SWT2,Examples/YeGhasemmi2018/SWT2/100_03_swt2_apscale0p0175_ppfix.i,1,Examples/YeGhasemmi2018/SWT2/results_csv_hpc_rorqual/100_03_swt2_apscale0p0175_ppfix_hpc.csv,table2_ranked,TABLE2_ERROR_ACCURACY_RANKING.csv
SWT2,Examples/YeGhasemmi2018/SWT2/100_04_swt2_apscale0p0177_ppfix.i,1,Examples/YeGhasemmi2018/SWT2/results_csv_hpc_rorqual/100_04_swt2_apscale0p0177_ppfix_hpc.csv,table2_ranked,TABLE2_ERROR_ACCURACY_RANKING.csv
SWT2,Examples/YeGhasemmi2018/SWT2/101_02_swt2_cyclic3_eq.i,1,Examples/YeGhasemmi2018/SWT2/results_csv_hpc_rorqual/101_02_swt2_cyclic3_eq_hpc.csv,discussion_101_valid,DISCUSSION_101_RUN_INDEX.csv
SWT2,Examples/YeGhasemmi2018/SWT2/101_06_swt2_cyclic3_esc.i,1,Examples/YeGhasemmi2018/SWT2/results_csv_hpc_rorqual/101_06_swt2_cyclic3_esc_hpc.csv,discussion_101_valid,DISCUSSION_101_RUN_INDEX.csv
SWT2,Examples/YeGhasemmi2018/SWT2/101_10_swt2_shutin_nohold.i,1,Examples/YeGhasemmi2018/SWT2/results_csv_hpc_rorqual/101_10_swt2_shutin_nohold_hpc.csv,discussion_101_valid,DISCUSSION_101_RUN_INDEX.csv
SWT2,Examples/YeGhasemmi2018/SWT2/102_02_swt2_mc_apscale0p0177_ppfix.i,1,Examples/YeGhasemmi2018/SWT2/results_csv_hpc_rorqual/102_02_swt2_mc_apscale0p0177_ppfix_hpc.csv,table2_ranked,TABLE2_ERROR_ACCURACY_RANKING.csv
SWT2,Examples/YeGhasemmi2018/SWT2/103_02_swt2_weakexp1p0_ppfix.i,2,Examples/YeGhasemmi2018/SWT2/results_csv_hpc_rorqual/103_02_swt2_weakexp1p0_ppfix_hpc.csv;Examples/YeGhasemmi2018/SWT2/results_csv_local/103_02_swt2_weakexp1p0_ppfix_local.csv,table2_ranked,TABLE2_ERROR_ACCURACY_RANKING.csv
